Order Year,Month Name,Profit
2014,January,2450.1907
2014,February,862.3084
2014,March,498.7299
2014,April,3500.894
2014,May,2738.7096
2014,June,4976.5244
2014,July,-841.4826000000002
2014,August,5318.105
2014,September,8328.0994
2014,October,3448.2573
2014,November,9292.1269
2014,December,8983.5699
2015,January,-3281.007
2015,February,2813.8508
2015,March,9732.0978
2015,April,4187.4962
2015,May,4667.869
2015,June,3335.5572
2015,July,3288.6483
2015,August,5355.8084
2015,September,8209.1627
2015,October,2817.366
2015,November,12474.7884
2015,December,8016.9659
2016,January,2824.8233
2016,February,5004.5795
2016,March,3611.968
2016,April,2977.8149
2016,May,8662.1464
2016,June,4750.3781
2016,July,4432.8779
2016,August,2062.0693
2016,September,9328.6576
2016,October,16243.142500000002
2016,November,4011.4075
2016,December,17885.3093
2017,January,7140.4391
2017,February,1613.8719999999998
2017,March,14751.891500000002
2017,April,933.2899999999998
2017,May,6342.5828
2017,June,8223.3357
2017,July,6952.6212
2017,August,9040.9557
2017,September,10991.5556
2017,October,9275.2755
2017,November,9690.1037
2017,December,8483.346800000001
